org_key,org_name,org_url,logo_path
mistral,Mistral AI,https://mistral.ai/,mistral.svg
bytedance,Bytedance (SE Lab),https://se-research.bytedance.com/,bytedance-seeklogo.svg
ibm,IBM,https://www.ibm.com/,IBM.svg
aws,Amazon Web Services,https://aws.amazon.com/q/,Amazon_Web_Services_Logo.svg
uw,University of Waterloo (SWAG Lab),https://github.com/uw-swag/AssertFlip,uw.svg
allhands,All Hands AI,https://all-hands.dev/,allhands.svg
logicstar,LogicStar,https://logicstar.ai/,logicstar_symbol_navy.svg
swe-agent,SWE-agent,https://swe-agent.com/,swe-agent.svg
aider,Aider,https://aider.chat/,aider.png
autocoderover,AutoCodeRover,https://autocoderover.net,autocoderover.svg
kaist,KAIST,https://github.com/coinse/libro,KAIST.svg
openai,OpenAI,https://openai.com,openai.svg
salesforce,Salesforce,https://www.salesforce.com/,Salesforce.com_logo.png
nju,Nanjing University,https://github.com/iSEngLab/ReProAgent,nju.png
patchtwin,PatchTwin,https://github.com/lbaf23/PatchTwin,patchtwin.png

